lat,lon,useful_crop_percentage,useless_non_crop_percentage
42.43487935325868,-95.76444348595372,69.92,30.08
47.43487935325868,-101.26444348595372,69.89,30.11
46.93487935325868,-119.76444348595372,69.75,30.25
36.93487935325868,-97.26444348595372,69.59,30.41
46.43487935325868,-96.26444348595372,69.49,30.51
40.43487935325868,-97.26444348595372,69.39,30.61
35.93487935325868,-89.26444348595373,69.32,30.68
43.93487935325868,-83.26444348595373,69.13,30.87
48.43487935325868,-110.76444348595372,69.12,30.88
41.43487935325868,-88.76444348595373,69.02,30.98
45.93487935325868,-97.26444348595372,68.96,31.04
48.93487935325868,-101.26444348595372,68.93,31.07
40.43487935325868,-95.76444348595372,68.8,31.2
42.93487935325868,-95.26444348595372,68.22,31.78
37.93487935325868,-98.76444348595372,68.21,31.79
44.93487935325868,-90.26444348595372,68.19,31.81
44.93487935325868,-96.26444348595372,68.18,31.82
41.43487935325868,-90.26444348595372,68.17,31.83
41.43487935325868,-95.76444348595372,67.98,32.02
48.43487935325868,-104.76444348595372,67.98,32.02
36.93487935325868,-100.76444348595372,67.91,32.09
47.43487935325868,-99.76444348595372,67.91,32.09
47.93487935325868,-101.76444348595372,67.79,32.21
40.43487935325868,-98.26444348595372,67.71,32.29
46.93487935325868,-96.26444348595372,67.65,32.35
39.93487935325868,-95.76444348595372,67.6,32.4
45.93487935325868,-97.76444348595372,67.46,32.54
35.93487935325868,-101.76444348595372,67.43,32.57
44.93487935325868,-94.26444348595372,67.16,32.84
39.93487935325868,-84.76444348595373,67.1,32.9
43.43487935325868,-95.26444348595372,66.86,33.14
39.93487935325868,-96.76444348595372,66.69,33.31
39.43487935325868,-97.26444348595372,66.55,33.45
36.93487935325868,-97.76444348595372,66.46,33.54
33.93487935325868,-101.26444348595372,66.44,33.56
43.93487935325868,-87.76444348595373,66.35,33.65
48.43487935325868,-98.26444348595372,66.34,33.66
44.43487935325868,-97.76444348595372,66.27,33.73
32.93487935325868,-102.26444348595372,66.21,33.79
40.93487935325868,-98.76444348595372,66.15,33.85
39.93487935325868,-99.76444348595372,66.09,33.91
39.93487935325868,-101.26444348595372,65.99,34.01
45.43487935325868,-97.76444348595372,65.98,34.02
35.93487935325868,-89.76444348595373,65.94,34.06
41.43487935325868,-84.76444348595373,65.9,34.1
44.43487935325868,-96.26444348595372,65.89,34.11
37.93487935325868,-97.26444348595372,65.84,34.16
36.93487935325868,-101.26444348595372,65.83,34.17
45.43487935325868,-96.76444348595372,65.81,34.19
46.43487935325868,-102.26444348595372,65.67,34.33
39.93487935325868,-103.26444348595372,65.58,34.42
43.93487935325868,-98.26444348595372,65.53,34.47
45.43487935325868,-94.76444348595372,65.52,34.48
39.93487935325868,-85.26444348595373,65.52,34.48
44.43487935325868,-92.76444348595372,65.47,34.53
41.43487935325868,-91.76444348595372,65.31,34.69
48.93487935325868,-102.76444348595372,65.2,34.8
46.43487935325868,-97.76444348595372,65.15,34.85
42.93487935325868,-97.76444348595372,64.81,35.19
43.43487935325868,-97.76444348595372,64.73,35.27
41.43487935325868,-92.26444348595372,64.72,35.28
47.93487935325868,-99.76444348595372,64.68,35.32
43.43487935325868,-84.26444348595373,64.66,35.34
42.43487935325868,-96.26444348595372,64.59,35.41
33.93487935325868,-102.26444348595372,64.51,35.49
36.43487935325868,-97.76444348595372,64.34,35.66
33.43487935325868,-90.26444348595372,64.18,35.82
42.43487935325868,-91.26444348595372,64.16,35.84
43.43487935325868,-98.76444348595372,64.15,35.85
39.93487935325868,-85.76444348595373,64.1,35.9
48.93487935325868,-106.26444348595372,64.09,35.91
29.93487935325868,-92.26444348595372,64.07,35.93
48.43487935325868,-105.76444348595372,63.63,36.37
44.43487935325868,-87.76444348595373,63.62,36.38
40.93487935325868,-85.26444348595373,63.6,36.4
41.93487935325868,-90.26444348595372,63.57,36.43
32.93487935325868,-91.26444348595372,63.5,36.5
47.93487935325868,-100.26444348595372,63.36,36.64
38.93487935325868,-89.76444348595373,63.33,36.67
41.93487935325868,-89.26444348595373,63.24,36.76
41.93487935325868,-85.26444348595373,63.23,36.77
48.43487935325868,-112.26444348595372,63.17,36.83
42.43487935325868,-89.76444348595373,63.14,36.86
34.93487935325868,-102.26444348595372,63.1,36.9
43.43487935325868,-96.76444348595372,63.06,36.94
41.43487935325868,-86.26444348595373,63.04,36.96
39.93487935325868,-103.76444348595372,63.0,37.0
39.43487935325868,-100.26444348595372,63.0,37.0
44.93487935325868,-90.76444348595372,62.86,37.14
32.43487935325868,-91.76444348595372,62.86,37.14
47.93487935325868,-101.26444348595372,62.84,37.16
44.43487935325868,-88.26444348595373,62.84,37.16
46.43487935325868,-99.76444348595372,62.84,37.16
38.43487935325868,-87.76444348595373,62.64,37.36
45.93487935325868,-99.76444348595372,62.57,37.43
41.43487935325868,-97.26444348595372,62.51,37.49
48.93487935325868,-110.76444348595372,62.36,37.64
46.93487935325868,-101.26444348595372,62.3,37.7
39.43487935325868,-83.26444348595373,62.01,37.99
39.93487935325868,-96.26444348595372,61.99,38.01
41.43487935325868,-94.76444348595372,61.84,38.16
48.93487935325868,-110.26444348595372,61.67,38.33
44.43487935325868,-100.26444348595372,61.6,38.4
38.43487935325868,-89.76444348595373,61.59,38.41
45.43487935325868,-119.76444348595372,61.59,38.41
46.93487935325868,-98.26444348595372,61.51,38.49
34.43487935325868,-103.26444348595372,61.47,38.53
43.93487935325868,-111.76444348595372,61.42,38.58
37.43487935325868,-97.26444348595372,61.38,38.62
41.93487935325868,-103.76444348595372,61.22,38.78
47.93487935325868,-99.26444348595372,61.2,38.8
48.93487935325868,-99.26444348595372,61.12,38.88
36.43487935325868,-98.26444348595372,61.1,38.9
39.93487935325868,-90.26444348595372,60.85,39.15
46.43487935325868,-101.76444348595372,60.8,39.2
29.43487935325868,-96.26444348595372,60.74,39.26
45.43487935325868,-99.26444348595372,60.6,39.4
46.93487935325868,-96.76444348595372,60.38,39.62
46.43487935325868,-98.26444348595372,60.32,39.68
43.43487935325868,-84.76444348595373,60.22,39.78
44.43487935325868,-100.76444348595372,60.21,39.79
43.43487935325868,-88.76444348595373,60.17,39.83
38.93487935325868,-97.26444348595372,60.16,39.84
38.43487935325868,-97.76444348595372,60.16,39.84
45.93487935325868,-95.76444348595372,60.09,39.91
38.43487935325868,-99.76444348595372,60.02,39.98
34.43487935325868,-101.76444348595372,59.95,40.05
35.43487935325868,-98.76444348595372,59.94,40.06
44.93487935325868,-99.76444348595372,59.93,40.07
42.43487935325868,-114.26444348595372,59.82,40.18
38.93487935325868,-88.26444348595373,59.48,40.52
38.93487935325868,-102.26444348595372,59.38,40.62
45.93487935325868,-119.76444348595372,59.29,40.71
41.43487935325868,-97.76444348595372,59.22,40.78
46.93487935325868,-98.76444348595372,59.22,40.78
30.93487935325868,-84.76444348595373,58.96,41.04
39.43487935325868,-95.26444348595372,58.88,41.12
39.93487935325868,-92.26444348595372,58.75,41.25
35.93487935325868,-97.76444348595372,58.61,41.39
